Timestamp,Elapsed_Time_sec,Memory_Usage_MB
2026-01-29 04:00:00,60.02,118.48
2026-01-29 04:01:00,120.02,127.69
2026-01-29 04:02:00,180.02,140.52
2026-01-29 04:03:00,240.02,138.46
2026-01-29 04:04:00,300.03,122.53
2026-01-29 04:05:00,360.03,139.46
2026-01-29 04:06:00,420.03,140.84
2026-01-29 04:07:00,480.03,143.08
2026-01-29 04:08:00,540.03,137.76
2026-01-29 04:09:00,600.04,148.12
2026-01-29 04:10:00,660.04,153.99
2026-01-29 04:11:00,720.04,146.97
2026-01-29 04:12:00,780.04,156.57
2026-01-29 04:13:00,840.04,145.25
2026-01-29 04:14:00,900.05,153.34
2026-01-29 04:15:00,960.05,151.20
2026-01-29 04:16:00,1020.05,136.71
2026-01-29 04:17:00,1080.05,149.20
2026-01-29 04:18:00,1140.06,152.82
2026-01-29 04:19:00,1200.06,154.13
2026-01-29 04:20:00,1260.06,148.60
2026-01-29 04:21:00,1320.06,148.42
2026-01-29 04:22:00,1380.06,150.69
2026-01-29 04:23:00,1440.07,152.28
2026-01-29 04:24:00,1500.07,233.98
2026-01-29 04:25:00,1560.07,244.00
2026-01-29 04:26:00,1620.09,241.26
2026-01-29 04:27:00,1680.10,242.55
2026-01-29 04:28:00,1740.10,240.30
2026-01-29 04:29:00,1800.10,249.84
2026-01-29 04:30:00,1860.10,259.88
2026-01-29 04:31:00,1920.10,264.14
2026-01-29 04:32:00,1980.11,263.22
2026-01-29 04:33:00,2040.11,243.19
2026-01-29 04:34:00,2100.11,248.13
2026-01-29 04:35:00,2160.11,250.81
2026-01-29 04:36:00,2220.12,258.16
2026-01-29 04:37:00,2280.12,259.99
2026-01-29 04:38:00,2340.12,175.25
2026-01-29 04:39:00,2400.12,176.48
2026-01-29 04:40:00,2460.13,180.93
2026-01-29 04:41:00,2520.13,181.23
2026-01-29 04:42:00,2580.13,182.95
2026-01-29 04:43:00,2640.13,178.53
2026-01-29 04:44:00,2700.13,177.61
2026-01-29 04:45:00,2760.13,104.87
2026-01-29 04:46:00,2820.14,162.53
2026-01-29 04:47:00,2880.14,145.56
2026-01-29 04:48:00,2940.14,122.27
2026-01-29 04:49:00,3000.14,151.07
2026-01-29 04:50:00,3060.14,150.98
2026-01-29 04:51:00,3120.14,154.98
2026-01-29 04:52:00,3180.15,154.57
2026-01-29 04:53:00,3240.15,114.47
2026-01-29 04:54:00,3300.15,138.09
2026-01-29 04:55:00,3360.15,142.46
2026-01-29 04:56:00,3420.15,133.97
2026-01-29 04:57:01,3480.16,129.44
2026-01-29 04:58:01,3540.17,139.87
2026-01-29 04:59:01,3600.17,144.52
