Timestamp,Elapsed_Time_sec,Memory_Usage_MB
2026-01-29 17:21:06,60.01,102.96
2026-01-29 17:22:06,120.01,108.31
2026-01-29 17:23:06,180.01,107.60
2026-01-29 17:24:06,240.02,118.18
2026-01-29 17:25:06,300.02,110.72
2026-01-29 17:26:06,360.02,119.84
2026-01-29 17:27:06,420.02,106.05
2026-01-29 17:28:06,480.02,116.68
2026-01-29 17:29:06,540.03,114.49
2026-01-29 17:30:06,600.03,117.61
2026-01-29 17:31:06,660.04,122.50
2026-01-29 17:32:06,720.07,125.09
2026-01-29 17:33:06,780.07,123.89
2026-01-29 17:34:06,840.07,200.86
2026-01-29 17:35:06,900.07,205.85
2026-01-29 17:36:06,960.08,248.77
